N,K,Threads,Schedule,Chunk,Tempo
100000,20,1,static,1,0.049449
100000,20,1,static,4,0.047167
100000,20,1,static,16,0.047028
100000,20,1,static,64,0.048048
100000,20,1,dynamic,1,0.048298
100000,20,1,dynamic,4,0.047977
100000,20,1,dynamic,16,0.048619
100000,20,1,dynamic,64,0.048646
100000,20,1,guided,1,0.047250
100000,20,1,guided,4,0.046566
100000,20,1,guided,16,0.047370
100000,20,1,guided,64,0.047113
100000,20,2,static,1,0.027728
100000,20,2,static,4,0.024483
100000,20,2,static,16,0.023459
100000,20,2,static,64,0.025324
100000,20,2,dynamic,1,0.029438
100000,20,2,dynamic,4,0.028369
100000,20,2,dynamic,16,0.025135
100000,20,2,dynamic,64,0.024445
100000,20,2,guided,1,0.035616
100000,20,2,guided,4,0.024607
100000,20,2,guided,16,0.024013
100000,20,2,guided,64,0.024395
100000,20,4,static,1,0.020881
100000,20,4,static,4,0.017421
100000,20,4,static,16,0.012758
100000,20,4,static,64,0.013530
100000,20,4,dynamic,1,0.013508
100000,20,4,dynamic,4,0.016034
100000,20,4,dynamic,16,0.016082
100000,20,4,dynamic,64,0.013920
100000,20,4,guided,1,0.013364
100000,20,4,guided,4,0.013058
100000,20,4,guided,16,0.013545
100000,20,4,guided,64,0.017458
100000,20,8,static,1,0.015007
100000,20,8,static,4,0.012535
100000,20,8,static,16,0.012373
100000,20,8,static,64,0.012066
100000,20,8,dynamic,1,0.010935
100000,20,8,dynamic,4,0.010079
100000,20,8,dynamic,16,0.010684
100000,20,8,dynamic,64,0.009566
100000,20,8,guided,1,0.010670
100000,20,8,guided,4,0.011976
100000,20,8,guided,16,0.011063
100000,20,8,guided,64,0.009185
100000,20,16,static,1,0.011710
100000,20,16,static,4,0.010619
100000,20,16,static,16,0.011226
100000,20,16,static,64,0.012621
100000,20,16,dynamic,1,0.009732
100000,20,16,dynamic,4,0.009816
100000,20,16,dynamic,16,0.009658
100000,20,16,dynamic,64,0.010007
100000,20,16,guided,1,0.010263
100000,20,16,guided,4,0.011655
100000,20,16,guided,16,0.010609
100000,20,16,guided,64,0.009985
100000,24,1,static,1,0.301574
100000,24,1,static,4,0.299258
100000,24,1,static,16,0.296743
100000,24,1,static,64,0.297556
100000,24,1,dynamic,1,0.305918
100000,24,1,dynamic,4,0.299564
100000,24,1,dynamic,16,0.306855
100000,24,1,dynamic,64,0.298521
100000,24,1,guided,1,0.307397
100000,24,1,guided,4,0.299770
100000,24,1,guided,16,0.299114
100000,24,1,guided,64,0.300725
100000,24,2,static,1,0.170606
100000,24,2,static,4,0.274523
100000,24,2,static,16,0.161749
100000,24,2,static,64,0.165654
100000,24,2,dynamic,1,0.156580
100000,24,2,dynamic,4,0.161433
100000,24,2,dynamic,16,0.153297
100000,24,2,dynamic,64,0.159131
100000,24,2,guided,1,0.153282
100000,24,2,guided,4,0.167358
100000,24,2,guided,16,0.167769
100000,24,2,guided,64,0.162783
100000,24,4,static,1,0.129290
100000,24,4,static,4,0.135963
100000,24,4,static,16,0.093750
100000,24,4,static,64,0.099874
100000,24,4,dynamic,1,0.086974
100000,24,4,dynamic,4,0.085812
100000,24,4,dynamic,16,0.101752
100000,24,4,dynamic,64,0.092954
100000,24,4,guided,1,0.085477
100000,24,4,guided,4,0.093211
100000,24,4,guided,16,0.091658
100000,24,4,guided,64,0.100220
100000,24,8,static,1,0.120946
100000,24,8,static,4,0.086326
100000,24,8,static,16,0.069773
100000,24,8,static,64,0.066773
100000,24,8,dynamic,1,0.059379
100000,24,8,dynamic,4,0.058659
100000,24,8,dynamic,16,0.060044
100000,24,8,dynamic,64,0.059158
100000,24,8,guided,1,0.063827
100000,24,8,guided,4,0.065192
100000,24,8,guided,16,0.060870
100000,24,8,guided,64,0.057834
100000,24,16,static,1,0.075780
100000,24,16,static,4,0.063597
100000,24,16,static,16,0.063137
100000,24,16,static,64,0.059432
100000,24,16,dynamic,1,0.053329
100000,24,16,dynamic,4,0.054401
100000,24,16,dynamic,16,0.055092
100000,24,16,dynamic,64,0.054103
100000,24,16,guided,1,0.064513
100000,24,16,guided,4,0.063074
100000,24,16,guided,16,0.058241
100000,24,16,guided,64,0.060450
100000,28,1,static,1,1.854824
100000,28,1,static,4,1.853670
