N,B,Threads,Variante,Tempo
10000000,32,1,Critical,0.036286
10000000,32,1,Atomic,0.017319
10000000,32,1,Reduction,0.003029
10000000,32,2,Atomic,0.063745
10000000,32,2,Reduction,0.002152
10000000,32,4,Atomic,0.056493
10000000,32,4,Reduction,0.001348
10000000,32,8,Atomic,0.049333
10000000,32,8,Reduction,0.001837
10000000,4096,1,Critical,0.035807
10000000,4096,1,Atomic,0.020128
10000000,4096,1,Reduction,0.004371
10000000,4096,2,Atomic,0.023846
10000000,4096,2,Reduction,0.002358
10000000,4096,4,Atomic,0.022409
10000000,4096,4,Reduction,0.001953
10000000,4096,8,Atomic,0.015258
10000000,4096,8,Reduction,0.002153
50000000,32,1,Critical,0.180148
50000000,32,1,Atomic,0.086871
50000000,32,1,Reduction,0.015395
50000000,32,2,Atomic,0.322005
50000000,32,2,Reduction,0.008235
50000000,32,4,Atomic,0.294538
50000000,32,4,Reduction,0.004941
50000000,32,8,Atomic,0.237491
50000000,32,8,Reduction,0.004734
50000000,4096,1,Critical,0.181062
50000000,4096,1,Atomic,0.100275
50000000,4096,1,Reduction,0.019423
50000000,4096,2,Atomic,0.120540
50000000,4096,2,Reduction,0.010448
50000000,4096,4,Atomic,0.108355
50000000,4096,4,Reduction,0.008421
50000000,4096,8,Atomic,0.074100
50000000,4096,8,Reduction,0.005849
