=== HISTÓRICO DA SIMULAÇÃO (MPI + OpenMP) ===
Ciclo | Estação | População Total | Energia Total | Recurso Total
---------------------------------------------------------------
    0 |    SECA |             100 |      10062.00 |      20720.50
    1 |    SECA |             100 |      10126.00 |      20668.50
    2 |    SECA |             100 |      10186.00 |      20621.50
    3 |    SECA |             100 |      10232.00 |      20568.50
    4 |    SECA |             100 |      10280.00 |      20529.00
    5 |    SECA |             100 |      10338.00 |      20473.50
    6 |    SECA |             100 |      10390.00 |      20422.50
    7 |    SECA |             100 |      10446.00 |      20381.50
    8 |    SECA |             100 |      10516.00 |      20322.50
    9 |    SECA |             100 |      10590.00 |      20269.50
   10 |   CHEIA |             100 |      10646.00 |      20308.50
   11 |   CHEIA |             100 |      10694.00 |      20288.50
   12 |   CHEIA |             100 |      10770.00 |      20242.50
   13 |   CHEIA |             100 |      10838.00 |      20209.00
   14 |   CHEIA |             100 |      10912.00 |      20168.50
   15 |   CHEIA |             100 |      10982.00 |      20125.50
   16 |   CHEIA |             100 |      11042.00 |      20087.00
   17 |   CHEIA |             100 |      11098.00 |      20059.00
   18 |   CHEIA |             100 |      11172.00 |      19999.50
   19 |   CHEIA |             100 |      11230.00 |      19962.00
   20 |    SECA |             100 |      11290.00 |      19878.50
   21 |    SECA |             100 |      11338.00 |      19817.50
   22 |    SECA |             100 |      11396.00 |      19768.00
   23 |    SECA |             100 |      11448.00 |      19731.00
   24 |    SECA |             100 |      11496.00 |      19679.50
   25 |    SECA |             100 |      11566.00 |      19619.50
   26 |    SECA |             100 |      11626.00 |      19575.00
   27 |    SECA |             100 |      11658.00 |      19548.00
   28 |    SECA |             100 |      11708.00 |      19506.00
   29 |    SECA |             100 |      11762.00 |      19453.50
   30 |   CHEIA |             100 |      11830.00 |      19466.00
   31 |   CHEIA |             100 |      11890.00 |      19440.50
   32 |   CHEIA |             100 |      11950.00 |      19414.00
   33 |   CHEIA |             100 |      12012.00 |      19387.00
   34 |   CHEIA |             100 |      12068.00 |      19351.00
   35 |   CHEIA |             100 |      12130.00 |      19320.00
   36 |   CHEIA |             100 |      12196.00 |      19280.00
   37 |   CHEIA |             100 |      12264.00 |      19240.00
   38 |   CHEIA |             100 |      12332.00 |      19211.00
   39 |   CHEIA |             100 |      12404.00 |      19183.00
   40 |    SECA |             100 |      12454.00 |      19114.00
   41 |    SECA |             100 |      12510.00 |      19063.00
   42 |    SECA |             100 |      12564.00 |      19017.50
   43 |    SECA |             100 |      12624.00 |      18973.00
   44 |    SECA |             100 |      12676.00 |      18934.50
   45 |    SECA |             100 |      12728.00 |      18902.00
   46 |    SECA |             100 |      12784.00 |      18854.50
   47 |    SECA |             100 |      12852.00 |      18805.50
   48 |    SECA |             100 |      12928.00 |      18755.50
   49 |    SECA |             100 |      12984.00 |      18720.00
   50 |   CHEIA |             100 |      13048.00 |      18729.50
   51 |   CHEIA |             100 |      13106.00 |      18710.00
   52 |   CHEIA |             100 |      13168.00 |      18674.00
   53 |   CHEIA |             100 |      13224.00 |      18646.50
   54 |   CHEIA |             100 |      13282.00 |      18606.50
   55 |   CHEIA |             100 |      13342.00 |      18563.50
   56 |   CHEIA |             100 |      13400.00 |      18525.00
   57 |   CHEIA |             100 |      13446.00 |      18481.00
   58 |   CHEIA |             100 |      13498.00 |      18439.00
   59 |   CHEIA |             100 |      13552.00 |      18389.00
   60 |    SECA |             100 |      13614.00 |      18313.00
   61 |    SECA |             100 |      13682.00 |      18254.50
   62 |    SECA |             100 |      13740.00 |      18205.00
   63 |    SECA |             100 |      13806.00 |      18149.50
   64 |    SECA |             100 |      13868.00 |      18096.00
   65 |    SECA |             100 |      13924.00 |      18045.50
   66 |    SECA |             100 |      13988.00 |      17992.00
   67 |    SECA |             100 |      14052.00 |      17937.00
   68 |    SECA |             100 |      14118.00 |      17890.50
   69 |    SECA |             100 |      14182.00 |      17837.50
   70 |   CHEIA |             100 |      14236.00 |      17858.00
   71 |   CHEIA |             100 |      14300.00 |      17833.50
   72 |   CHEIA |             100 |      14346.00 |      17830.00
   73 |   CHEIA |             100 |      14392.00 |      17826.00
   74 |   CHEIA |             100 |      14422.00 |      17817.00
   75 |   CHEIA |             100 |      14466.00 |      17797.50
   76 |   CHEIA |             100 |      14522.00 |      17766.00
   77 |   CHEIA |             100 |      14568.00 |      17742.00
   78 |   CHEIA |             100 |      14622.00 |      17703.00
   79 |   CHEIA |             100 |      14674.00 |      17687.00
   80 |    SECA |             100 |      14734.00 |      17609.00
   81 |    SECA |             100 |      14796.00 |      17554.00
   82 |    SECA |             100 |      14838.00 |      17523.50
   83 |    SECA |             100 |      14884.00 |      17489.00
   84 |    SECA |             100 |      14946.00 |      17442.00
   85 |    SECA |             100 |      15002.00 |      17401.00
   86 |    SECA |             100 |      15050.00 |      17365.50
   87 |    SECA |             100 |      15092.00 |      17321.00
   88 |    SECA |             100 |      15150.00 |      17276.00
   89 |    SECA |             100 |      15198.00 |      17243.00
   90 |   CHEIA |             100 |      15248.00 |      17277.00
   91 |   CHEIA |             100 |      15302.00 |      17270.50
   92 |   CHEIA |             100 |      15356.00 |      17271.50
   93 |   CHEIA |             100 |      15400.00 |      17263.50
   94 |   CHEIA |             100 |      15430.00 |      17261.50
   95 |   CHEIA |             100 |      15484.00 |      17245.00
   96 |   CHEIA |             100 |      15532.00 |      17217.00
   97 |   CHEIA |             100 |      15580.00 |      17192.00
   98 |   CHEIA |             100 |      15616.00 |      17151.00
   99 |   CHEIA |             100 |      15662.00 |      17129.00
